plot_diversityAlpha,ACA_BUR,ACA_CAF,ACA_GER,ACA_GRA,ACA_KAR,ACA_NIG,ACA_NIL,ACA_ROB,BRA_ILL,CAN_INE,CEL_AFR,CHA_ARI,COM_MOL,COR_CAF,DIC_CIN,DIO_DIC,DIO_NAT,DIO_SIM,DOM_ROT,DRY_ARG,ENG_NAT,ERY_EMA,EUC_DIV,EUC_NAT,EUC_RAC,GRE_FLA,GYM_BUX,GYM_HAR,GYM_MAR,HIP_PAU,KRA_FLO,OLE_EUR,ORM_TRI,PLE_ARM,RAW_LUC,RHU_PEN,SCH_BRA,SCL_BIR,SCO_ZEY,SCU_MYR,SID_INE,SPI_AFR,TAR_CAM,TAR_PAV,ZAN_CAP,ZIZ_MUC
15.27,0,0.144466463,0,0.153329341,0.001665971,0,2.80E-04,0,0,0,0,0,2.653913043,0,0.002566968,0.041753002,0,0,3.499728571,0,0,0,0,0,0.136291908,0,0.667325212,0.073705736,0,0,0,0,0.026889495,0,0,1.345802708,0,0,0,0,0,0.039717172,0.022156863,0,0,0
6.38,0.011112805,0,0.5,0.015592814,0.005235908,0,2.80E-04,6.14E-05,0,0,0,0,0,0,0.005017256,0,0,0,0,0,0,0,0,0,0.136291908,0,0,0,0,0,0,0,0.023901774,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.150022866,0,0,0.009400835,0,5.60E-04,0,0,0,0,0,0,0,0.002333607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.38,0,0,0,0.002598802,0,0.080549618,0,0,0,0,0,0,0,0,0.003967132,0,0,0,0,0,0,0,0,0,0,0,0.370736229,0,0.958674033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,0,0,0,0.083161677,0.001308977,0,7.46E-04,0,0,0,0,0,0,0,0.001516845,0,0,0,0,0,0,0,0.687071429,0,0,0,0,0.036852868,0,0,0,0,0.011950887,0,0,0,0,0,0,0,0,0.198585859,0,0,0,0.267754237
1.95,0,0,0,0.153329341,0,0.006712468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110558603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267754237
1.95,0,0,0,0,0,0.020137405,0,0,0,0,0,0,0,0,3.50E-04,0,0,0,0,0,0,0,0,0,0,0.943685185,0.074147246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267754237
4.15,0,0,0,0.109149701,0,0.040274809,0,0,0,0,0,0,0,0,7.00E-04,0,0,0,0,0,0,0,0.824485714,0,0.068145954,0,0,0.073705736,0,0,0,0,0,0,0,0,0,0,0,0,0.409310559,0,0,0,0,0.267754237
4.89,0,0.038894817,0,0,0,0,2.80E-04,6.14E-05,0,0,0,0,0,0,0.007467543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403740812,0,0,0,0,0,0,0,0,0,0.535508475
3.53,0,0,0,0,4.76E-04,0,3.73E-04,0,0,0,0,0,0,0,0.008751027,0.020876501,0,0,0,0,0,0,0,0,0,0,0,0,0.479337017,0,0,0,0,0,0,0.807481625,0,0,0,0,0,0,0,0,0,0.267754237
2.4,0,0,0,0,0.001070981,0,9.33E-05,0,0,0,0,0,0,0,0.007117502,0,0,0,0,0,0,0,0,0,0,0,0,0,3.834696133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.27,0,0,0,0.080549618,0,0,0,0.003995327,0,0,0,0,0,0,0.013142487,0,0,0,0,0,0,0,0.595560322,0,7.080929595,0.046602894,0,0.718017544,0,0,7.696137972,0,0,0.892777778,0,0,0,0,0,0.60800339,10.43153614,0.026005376,0,0,0,3.716293103
11.4,0,0,0,0,0,0,0,0,0.288388889,0,0,0,0,0,0.003458549,0,0.043430034,6.704657534,0,0,0,0,16.22901877,0,9.87113828,0,0.063128049,3.645319838,0,0,0,0.022830882,0,0,0,0,1.468209549,0,0,0,12.46695783,0.612983871,0.115902128,0,0,2.364913793
4.72,0.008703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036973333,0,2.194977169,0,0,0,0,3.672621984,0,1.847738196,0.116507235,0,1.284146761,0,0,0.247199292,0,0,2.975925926,0,0,0,0,0,0,0.636069277,6.967583333,0,0,0,0
7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.609694351,0,0,4.156216937,0,0,0,0,0,0,0,0,0,0,0,0.201742373,7.50561747,0,0,0,0,0
6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001729275,0,0.707909556,1.077534247,0,0,0,0,4.789297587,0.039144737,12.74815346,0,0,2.623525641,0,0.082534091,0.082399764,0.024381127,0,0,0,0,0,0,0,0,39.30908133,0,0.041393617,0,0.002592593,0
9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005187824,0,2.006467577,2.254840183,0,0,0,0,5.980418231,0,6.411279511,0.30291881,0,4.321913293,0,0,0,0,0,5.059074074,0,0,0,0,0,0,0,4.211013441,2.719560638,0,0,0
6.49,0,0,0,0,0,0,0,0.001051402,0,0,0,0,0,0,0,0,4.18665529,4.110593607,0,0,0,0,7.022648794,0.227039474,14.58349073,0.109849678,0,3.203462888,0,0,0,0,0,6.286643519,0,0,0,0,0,0,5.597409639,2.914459677,0.571231915,0,0,0.422306034
