contrast,odds.ratio,SE,df,null,t.ratio,p.value
Savanna ACA_ROB / Thicket EUC_RAC,0.6464338594297202,0.15960542735656327,364,1,-1.7670389268355533,0.9738297757759125
Savanna SID_INE / Savanna SPI_AFR,2.0994455606079216,0.881480022481852,364,1,1.766463968250559,0.9739192387029199
Savanna KRA_FLO / Forest SCU_MYR,1.5367425746759031,0.385728015765344,364,1,1.7117876262793503,0.9813997562623369
Forest ACA_ROB / Thicket SCU_MYR,0.382852526435649,0.2152723975553595,364,1,-1.7075054069391238,0.9819048821472911
Savanna ACA_ROB / Forest SPI_AFR,0.5002425111703698,0.20470747970714914,364,1,-1.6926548885127826,0.9835728593977588
Savanna GYM_HAR / Thicket KRA_FLO,1.545893802153989,0.4049718012395637,364,1,1.6628190540164594,0.9865526939399337
Thicket GYM_HAR / Thicket KRA_FLO,1.4755247949676844,0.3506810622616099,364,1,1.6368131923466143,0.9887794156659463
Thicket SCU_MYR / Thicket SID_INE,0.5950084873966974,0.1893469034150521,364,1,-1.6314831046626972,0.9891964666857932
Forest GYM_HAR / Forest SCU_MYR,1.4610842082819349,0.35390214453458174,364,1,1.5654386936573996,0.9933948497308747
Forest EUC_RAC / Thicket SPI_AFR,1.657851767058637,0.5448007962575638,364,1,1.538326707872405,0.9946707234794394
Savanna ACA_ROB / Thicket KRA_FLO,0.649819039629159,0.18227729205936966,364,1,-1.5367348989987166,0.9947387112125432
Savanna SPI_AFR / Thicket SPI_AFR,1.9009827397762162,0.7965599077046803,364,1,1.5330123210382736,0.994894872178803
Savanna EUC_RAC / Thicket SCU_MYR,1.5382485417747538,0.43409353682626023,364,1,1.5260264306219964,0.9951774384986168
Savanna KRA_FLO / Savanna SPI_AFR,1.851706515664078,0.747717280771168,364,1,1.5257779752954541,0.9951872408353715
Forest ACA_ROB / Savanna SPI_AFR,0.38901515990183333,0.24214879113172083,364,1,-1.5167682256730652,0.995531556415665
