site,mean_chewing_herbivory,mean_mining_herbivory,mean_leaf_area,mean_total_herbivory,total_herbivory,chewing_herbivory,mining_herbivory
F1,0.7434211711711711,0.012105855855855855,9.581448198198197,0.755527027027027,7.885311399680737,7.758964571879357,0.1263468278013795
F2,0.6724351145038168,0.09748854961832061,13.961709923664122,0.7699236641221374,5.514537032582024,4.816280514208982,0.6982565183730421
F3,0.1646273849607183,0.025841750841750843,7.219534231200898,0.19046913580246913,2.6382468688812697,2.2803047909828136,0.3579420778984564
F4,0.6590394477317554,0.17989151873767262,10.745098619329388,0.838930966469428,7.807568791972488,6.133395988997322,1.6741728029751655
F5,0.7596582278481012,0.06636962025316456,9.854184810126583,0.8260278481012657,8.382508183248238,7.708991078261936,0.6735171049863028
F6,0.8863623762376237,0.17055049504950495,10.71439603960396,1.0569128712871287,9.86441855780231,8.272630328030946,1.5917882297713635
F7,0.4200167064439141,0.10509069212410502,4.966202863961814,0.5251073985680191,10.57361958325464,8.457501997992155,2.116117585262483
S1,0.2056851063829787,0.21186382978723403,4.581592907801419,0.4175489361702127,9.113619314785064,4.489379796985965,4.624239517799099
S10,0.3908046181172291,0.48247069271758436,4.321081705150977,0.8732753108348135,20.20964588088717,9.044138592690057,11.16550728819711
S11,0.04584978540772532,0.03715021459227468,0.6008068669527897,0.083,13.814755550475756,7.631368403005972,6.183387147469784
S13,0.0931996996996997,0.19425075075075074,8.187615615615616,0.2874504504504504,3.510795620427247,1.1383008689605187,2.372494751466728
S19,0.30726227678571427,0.43754464285714284,6.389654017857143,0.7448069196428571,11.656451469224278,4.808746700948276,6.847704768276004
S20,0.09246868686868687,0.06162525252525254,3.230031313131313,0.1540939393939394,4.770663948906272,2.862779889865658,1.9078840590406139
S21,0.13511259079903148,0.07758716707021794,3.1811210653753026,0.21269975786924944,6.686314462670585,4.2473262734215105,2.438988189249074
S22,1.413405572755418,0.8548792569659442,6.0908962848297215,2.2682848297213623,37.2405755023421,23.20521490861228,14.035360593729818
S24,0.42734969325153377,0.23847239263803682,7.340865030674847,0.6658220858895706,9.070076661365363,5.821516830316215,3.2485598310491484
S25,0.9036884272997032,0.10924332344213653,8.36799703264095,1.0129317507418398,12.104829229631758,10.799339719824184,1.305489509807572
S27,0.1650029542097489,0.05746233382570163,4.6634741506646975,0.22246528803545051,4.770376780232436,3.5381981089405325,1.232178671291903
S30,0.3770957943925234,0.10721728971962617,6.35038785046729,0.48431308411214957,7.626511884254623,5.938153751739352,1.6883581325152708
S4,0.10742419601837672,0.07213323124042881,4.6460980091883615,0.17955742725880552,3.864693058641974,2.3121379662230357,1.5525550924189382
S46,0.12884351145038167,0.02270992366412214,5.5023263358778625,0.1515534351145038,2.754351993379622,2.3416188641931117,0.41273312918651
S49,0.04225434583714547,0.009661482159194877,1.1413019213174749,0.05191582799634035,4.548825076576645,3.7022934114023647,0.8465316651742806
S5,0.3039193548387097,0.044898924731182795,3.598083870967742,0.3488182795698925,9.694556660683793,8.446700125335528,1.247856535348265
S50,0.18665648854961833,0.027800000000000002,3.7400702290076335,0.21445648854961832,5.7340230374904175,4.990721487043963,0.7433015504464545
S52,0.06300455373406193,0.04975683060109289,2.1274653916211292,0.11276138433515481,5.3002687977561225,2.961484308144371,2.338784489611752
S53,0.025496598639455782,0.028532879818594103,3.064780045351474,0.05402947845804988,1.7629153694079762,0.8319226261645732,0.9309927432434031
S55,0.38867218543046356,0.2505,4.524870860927153,0.6391721854304635,14.125755299445082,8.589685703225221,5.536069596219862
S58,0.07843506493506494,0.07262824675324675,4.148258116883117,0.1510633116883117,3.6416082951418742,1.8907951898132804,1.7508131053285938
S7,3.2888888888888887e-4,2.4444444444444443e-4,0.050284444444444444,5.733333333333332e-4,1.1401803075835246,0.6540569206293088,0.486123386954216
S8,0.1922972665148064,0.17689293849658314,4.518197038724374,0.36919020501138955,8.171184254408333,4.256061983722114,3.9151222706862177
S9,0.2233362445414847,0.001912663755458521,3.6516069868995635,0.22524890829694322,6.168487164830223,6.116108478889475,0.05237868594074766
T12,0.10929356846473029,0.01558298755186722,5.004552904564315,0.12487655601659751,2.495258985127443,2.1838827673307435,0.3113762177966992
T13,0.3942407407407407,0.3256641975308642,5.162434567901235,0.719904938271605,13.945066592181123,7.636721309593617,6.308345282587505
T17,0.1940213243546577,0.045039281705948384,4.022115600448934,0.23906060606060608,5.943653286194038,4.823862455196508,1.1197908309975295
T22,0.25832658569500677,0.06358974358974359,6.957358974358974,0.32191632928475034,4.6269903633139835,3.712997800559918,0.913992562754066
T23,0.20304872006606112,0.003947151114781182,6.225233691164327,0.2069958711808423,3.3251100512843106,3.2617043815440163,0.06340566974029425
T24,0.15773349056603775,0.023115566037735857,5.593377358490566,0.1808490566037736,3.2332711528795843,2.820004452705187,0.4132667001743977
T9,0.10964864864864865,0.03493503118503118,3.4509074844074843,0.14458367983367984,4.189729237511119,3.177385923676107,1.0123433138350122
