species,site,leaf_age,herbivory_type,side,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized
BER_ZEY,S50,young,sap_miner_herbivory,up,Savanna,2,0.032875,6.929,0.47445518833886563
BER_ZEY,S50,young,sap_miner_herbivory,up,Savanna,3,0.0023,2.7366,0.0840458963677556
BER_ZEY,S50,young,chew_herbivory,up,Savanna,1,0.024428571428571428,4.031428571428571,0.6059532246633593
BER_ZEY,S50,young,chew_herbivory,up,Savanna,2,0.32375000000000004,6.929,4.672391398470198
BER_ZEY,S50,young,chew_herbivory,up,Savanna,3,0.0587,2.7366,2.1449974420814146
BER_ZEY,S52,old,sap_miner_herbivory,low,Savanna,1,1.276875,9.90925,12.885687615107095
BER_ZEY,S52,old,sap_miner_herbivory,low,Savanna,2,0.4185,10.7375,3.89755529685681
BER_ZEY,S52,old,sap_miner_herbivory,low,Savanna,3,0.17066666666666666,7.222333333333333,2.3630405686066367
BER_ZEY,S52,old,sap_miner_herbivory,up,Savanna,1,0.387,7.744272727272727,4.9972413631187855
BER_ZEY,S52,old,sap_miner_herbivory,up,Savanna,2,0.30518181818181817,8.891454545454545,3.4323047665787376
BER_ZEY,S52,old,sap_miner_herbivory,up,Savanna,3,0.2777272727272727,7.874909090909091,3.5267362393793866
BER_ZEY,S52,old,chew_herbivory,low,Savanna,1,1.422375,9.90925,14.354012664934277
BER_ZEY,S52,old,chew_herbivory,low,Savanna,2,0.41150000000000003,10.7375,3.8323632130384166
BER_ZEY,S52,old,chew_herbivory,low,Savanna,3,0.16483333333333333,7.222333333333333,2.28227258042184
BER_ZEY,S52,old,chew_herbivory,up,Savanna,1,0.5179090909090909,7.744272727272727,6.687640132884125
BER_ZEY,S52,old,chew_herbivory,up,Savanna,2,0.2998181818181818,8.891454545454545,3.371981269042799
BER_ZEY,S52,old,chew_herbivory,up,Savanna,3,0.2639090909090909,7.874909090909091,3.351265238271149
BER_ZEY,S52,young,sap_miner_herbivory,up,Savanna,1,0.04446153846153846,3.276076923076923,1.3571579515837424
BER_ZEY,S52,young,sap_miner_herbivory,up,Savanna,2,0.146,4.668555555555556,3.1273056143941735
BER_ZEY,S52,young,sap_miner_herbivory,up,Savanna,3,0.020800000000000003,5.0949,0.40825138864354554
BER_ZEY,S52,young,chew_herbivory,up,Savanna,1,0.04669230769230769,3.276076923076923,1.4252506515766983
BER_ZEY,S52,young,chew_herbivory,up,Savanna,2,0.14355555555555555,4.668555555555556,3.0749458552490654
BER_ZEY,S52,young,chew_herbivory,up,Savanna,3,0.0197,5.0949,0.38666117097489644
BER_ZEY,S55,old,sap_miner_herbivory,low,Savanna,1,0.19783333333333333,8.761166666666666,2.258070652690852
BER_ZEY,S55,old,sap_miner_herbivory,up,Savanna,1,0.4257,8.389,5.074502324472524
BER_ZEY,S55,old,chew_herbivory,low,Savanna,1,0.15,8.761166666666666,1.7121007476173267
BER_ZEY,S55,old,chew_herbivory,up,Savanna,1,0.39,8.389,4.64894504708547
BER_ZEY,S55,young,sap_miner_herbivory,up,Savanna,1,0.10141666666666667,3.974833333333333,2.551469663298252
BER_ZEY,S55,young,chew_herbivory,up,Savanna,1,0.08575,3.974833333333333,2.1573231582036985
BER_ZEY,S58,old,sap_miner_herbivory,low,Savanna,1,0.032875,1.248,2.6342147435897436
BER_ZEY,S58,old,sap_miner_herbivory,low,Savanna,2,0,10.6041,0
BER_ZEY,S58,old,sap_miner_herbivory,up,Savanna,1,0.3034545454545455,1.7321818181818183,17.518631258528394
BER_ZEY,S58,old,sap_miner_herbivory,up,Savanna,2,0,10.285642857142857,0
BER_ZEY,S58,old,chew_herbivory,low,Savanna,1,0.055499999999999994,1.248,4.447115384615384
BER_ZEY,S58,old,chew_herbivory,low,Savanna,2,0.0564,10.6041,0.5318697484935072
BER_ZEY,S58,old,chew_herbivory,up,Savanna,1,0.045909090909090906,1.7321818181818183,2.6503621286868895
BER_ZEY,S58,old,chew_herbivory,up,Savanna,2,0.19128571428571428,10.285642857142857,1.859735137049563
BER_ZEY,S58,young,sap_miner_herbivory,up,Savanna,1,0.009285714285714286,5.9355714285714285,0.1564417916195336
BER_ZEY,S58,young,sap_miner_herbivory,up,Savanna,2,0,5.018916666666667,0
BER_ZEY,S58,young,chew_herbivory,up,Savanna,1,0.010142857142857143,5.9355714285714285,0.1708825723844136
BER_ZEY,S58,young,chew_herbivory,up,Savanna,2,0.03175,5.018916666666667,0.6326066382187391
BER_ZEY,S8,old,sap_miner_herbivory,low,Savanna,1,0.30233333333333334,11.1835,2.703387430887766
BER_ZEY,S8,old,sap_miner_herbivory,low,Savanna,2,0.7371111111111112,10.249555555555556,7.191639745896841
BER_ZEY,S8,old,sap_miner_herbivory,up,Savanna,1,0.34263636363636363,12.56309090909091,2.7273253542121942
BER_ZEY,S8,old,sap_miner_herbivory,up,Savanna,2,0.3276363636363636,10.557454545454545,3.103365136224296
