contrast,estimate,SE,df,t.ratio,p.value
Savanna KRA_FLO - Forest SCU_MYR,6.777546402743587,0.8367900240035441,444.6748096793698,8.09945889449906,0
Savanna KRA_FLO - Savanna SCU_MYR,6.7778041970769225,0.7683308528409345,444.9769816183694,8.821465612132737,0
Savanna KRA_FLO - Thicket SCU_MYR,6.584958273943586,0.9783892967380465,444.9431146776066,6.730407104715741,1.0924178783788818e-8
Savanna KRA_FLO - Forest SID_INE,0.21417063607696019,1.5250386390459008,444.6351287528927,0.140436203118729,1
Savanna KRA_FLO - Savanna SID_INE,-1.8448803609230802,0.8845224668816576,444.99199119149847,-2.085736010106243,0.8789724497501452
Savanna KRA_FLO - Thicket SID_INE,-0.23206018336752554,0.9168364703017149,444.96989872238026,-0.2531096775536848,1
Savanna KRA_FLO - Forest SPI_AFR,4.749714902826924,1.6890764287619853,444.955176629747,2.8120189364718358,0.3717172916704685
Savanna KRA_FLO - Savanna SPI_AFR,7.980027890743589,1.1886518517902165,444.8134158204553,6.713511511991463,1.2141694538669867e-8
Savanna KRA_FLO - Thicket SPI_AFR,5.376320648785252,0.8368110447274164,444.53934390874934,6.424772572805297,7.104249755141012e-8
Thicket KRA_FLO - Forest SCU_MYR,7.278351824916663,0.8912081236480617,443.1021526524171,8.166837388245,0
Thicket KRA_FLO - Savanna SCU_MYR,7.278609619249998,0.8291614057834251,443.245315295526,8.77827835266027,0
Thicket KRA_FLO - Thicket SCU_MYR,7.085763696116662,1.0255886605812794,443.55643673922543,6.908972347744776,3.5486801275297353e-9
Thicket KRA_FLO - Forest SID_INE,0.7149760582500361,1.5620133747676908,444.98980588772343,0.4577272319171853,0.9999999999935513
Thicket KRA_FLO - Savanna SID_INE,-1.3440749387500044,0.9427487347698283,444.79448747982264,-1.4256979502371432,0.9980287675710353
Thicket KRA_FLO - Thicket SID_INE,0.26874523880555035,0.9687454273528541,443.90342100427637,0.27741574950181735,1
Thicket KRA_FLO - Forest SPI_AFR,5.250520325,1.7144027607185823,443.9073964820551,3.062594417894704,0.2184308099465383
Thicket KRA_FLO - Savanna SPI_AFR,8.480833312916664,1.2275697944103872,443.07208036323186,6.908636357405719,3.5601829262432716e-9
Thicket KRA_FLO - Thicket SPI_AFR,5.877126070958328,0.8914214313725561,443.3520622979812,6.592982694962908,2.5657120872324413e-8
Forest SCU_MYR - Savanna SCU_MYR,2.577943333355037e-4,0.8653785961345979,443.3875578714666,2.978977461275311e-4,1
Forest SCU_MYR - Thicket SCU_MYR,-0.19258812880000054,1.054923455448797,443.48986508992147,-0.1825612349457787,1
Forest SCU_MYR - Forest SID_INE,-6.563375766666627,1.5822405624530542,444.95053006341783,-4.1481528930663885,0.006835217845150066
Forest SCU_MYR - Savanna SID_INE,-8.622426763666667,0.975375420098112,444.6560168919875,-8.840110777857562,0
Forest SCU_MYR - Thicket SID_INE,-7.009606586111112,0.999965697299865,443.99685384691617,-7.009847042792214,1.8502653853502693e-9
Forest SCU_MYR - Forest SPI_AFR,-2.0278314999166627,1.7317929024930525,443.78681029062034,-1.1709434176554478,0.999883145857855
Forest SCU_MYR - Savanna SPI_AFR,1.2024814880000017,1.2521527451087617,443.0382964555884,0.9603313115729778,0.9999951387191908
Forest SCU_MYR - Thicket SPI_AFR,-1.401225753958335,0.9250061498445495,443.2748937733217,-1.5148285816195015,0.9956670031960837
Savanna SCU_MYR - Thicket SCU_MYR,-0.19284592313333604,1.0037067633927959,444.1266817527474,-0.19213372886067392,1
Savanna SCU_MYR - Forest SID_INE,-6.563633560999962,1.545914025376039,444.9624102222515,-4.245794690557502,0.004634320130989633
Savanna SCU_MYR - Savanna SID_INE,-8.622684558000003,0.9165838096727569,444.9956904799041,-9.407415303439098,0
Savanna SCU_MYR - Thicket SID_INE,-7.009864380444448,0.9442033230038522,443.40523496233817,-7.4241047554710295,1.03335340284616e-10
Savanna SCU_MYR - Forest SPI_AFR,-2.028089294249998,1.7007477335857226,443.80051789913426,-1.1924692029276642,0.9998458654146528
