species,Species,Root-sucker,Bud_protection,Bud_accessory,BarkGR,WoodGR,Evergreen,Spiny,BiteSizeIndex,SpineType,Height5,Max_Height,C,N,P_Elsenburg,N_UCT,N_Elsenburg,CN_ratio,CT,LDMC_leaf,SLA,NormanI,FreshW,Wood_density,LeafArea,Name (checked),Family,chewing_herbivory,mining_herbivory,leaf_area,total_pct_direct,total_herbivory,total_pct_counted
BRA_ILL,Brachylaena_ilicifolia,0,3,0,0.371126984,3.101857143,1,0,1.555,No,0.833333333,4,44.39,1.68,0.17,2.09,1.27,21.26,0.079052082,0.412650602,12.27957339,10.04047396,0.332,0.842,1.6633,Brachylaena ilicifolia (Lam.) E.Phillips & Schweick.,Asteraceae,0.105375,0.07516666666666667,6.028888888888889,5.0566922249861115,0.18054166666666666,0.02994609288610394
CAN_INE,Canthium_inerme,0,1,0,0.145833333,4.052261905,1,0,1.01,No,0.833333333,7,45.38,2.345,0.16,2.44,2.25,18.58,0.079313758,0.241264559,21.09232497,14.03034312,0.601,0.938,2.9655,Canthium inerme (L.f.) Kuntze,Rubiaceae,0.2413611111111111,0.002555555555555576,6.807740740740741,3.808784810601852,0.2439166666666667,0.03582931194881644
CEL_AFR,Celtis_africana,0,0,0,0.078148148,2.307777778,0,0,1.04,No,2.333333333,30,37.49,2.905,0.18,3,2.81,12.5,0.030411658,0.239302694,26.12674994,17.41479417,0.631,0.6194895,3.8808,Celtis africana Burm.f.,Celtidaceae,1.4405929648241207,0.10222110552763819,10.519894472361809,10.591337967055276,1.542814070351759,0.14665680101688164
CHA_ARI,Chaetacme_aristata,0,0,0,0.088111111,2.915,0,1,0.322,Thorn,1.333333333,13,38.05,2.47,0.17,2.56,2.38,14.86,0.040148688,0.282467532,14.30149751,14.79992566,0.616,0.8,2.3675,Chaetacme aristata Planch.,Celtidaceae,0.14896019900497512,0.0611218905472637,4.599425373134328,4.0883347240621895,0.2100820895522388,0.045675725228492205
COM_MOL,Combretum_molle,1,3,1,0.323452381,3.875535714,0,0,1.721,No,1,10,46.11,1.85,0.16,1.95,1.75,23.7,5.244845778,0.428691983,7.958688336,8.477577111,1.185,0.758,3.9184,Combretum molle R.Br. ex G.Don,Combretaceae,0.45400621118012424,0.3317391304347826,10.480782608695652,6.965203058807454,0.7857453416149068,0.0749701020382765
COR_CAF,Cordia_caffra,1,2,1,0.249285714,4.973809524,0,0,1.436,No,1.333333333,13,39.88,2.95,0.3,3.04,2.86,13.1,0.061127163,0.205387205,25.4332282,17.66943642,0.594,0.7228095,2.45,Cordia caffra Sond.,Boraginaceae,1.2088368055555556,0.3429201388888889,13.914666666666667,9.574453329572917,1.5517569444444446,0.11151951977130446
DIC_CIN,Dichrostachys_cinerea,1,1,0,0.797619048,2.065446429,0,1,0.89,Thorn,1,6,48.76,2.375,0.14,2.51,2.24,19.4,3.961548683,0.37322695,11.34492251,12.26922566,1.128,0.99,4.7187,Dichrostachys cinerea (L.) Wight & Arn. ssp nyassana Taub.,Fabaceae,0.006292198581560284,2.900709219858156e-4,0.11595602836879433,1.2833793103921987,0.0065822695035461,0.056765220369668135
DIO_DIC,Diospyros_dicrophylla,1,0,1,0.07125,2.31467803,1,0,1.281,No,1,3,46.61,1.65,0.13,1.72,1.58,27.14,0.345096236,0.349315068,9.933357143,9.727451882,0.146,0.8,0.5129,Diospyros dichrophylla (Gand.) De Winter,Ebenaceae,0.061424012158054715,0.018782674772036493,4.080984802431611,1.8304631588054712,0.08020668693009121,0.019653757809218235
DIO_NAT,Diospyros_natalensis,1,2,0,0.096257081,1.501538126,1,0,0.423,No,1.333333333,10,44.13,2.1,0.13,2.2,2,20.09,1.237750476,0.333333333,21.69666667,11.98112476,0.036,0.82,0.2528,Diospyros natalensis (Harv.) Brenan,Ebenaceae,0.017254266211604096,0.017372013651877134,1.786117747440273,1.5686580337832765,0.03462627986348123,0.01938633660244682
DIO_SIM,Diospyros_simii,0,3,0,0.038413399,1.039410131,1,0,0.469,No,3,7,43.77,2.21,0.16,2.32,2.1,18.83,0.796999391,0.293333333,22.724,12.8615003,0.15,0.77,0.9501,Diospyros simii (Kuntze) De Winter,Ebenaceae,0.20506849315068493,0.07981735159817352,4.118591324200914,8.309874057429223,0.2848858447488585,0.06917069996114068
