(Intercept),Avg_Rain,Herb_type,"poly(elevation, 2)",X20yr_fire,Avg_Rain:Herb_type,"Avg_Rain:poly(elevation, 2)",Avg_Rain:X20yr_fire,"Herb_type:poly(elevation, 2)",Herb_type:X20yr_fire,"poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2)",Avg_Rain:Herb_type:X20yr_fire,"Avg_Rain:poly(elevation, 2):X20yr_fire","Herb_type:poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2):X20yr_fire",df,logLik,AICc,delta,weight
101.5048791460779,-0.13971275865230054,+,+,-9.830338632671872,NA,+,0.014045347679189706,NA,+,NA,NA,NA,NA,NA,NA,11,-99.4644800621413,228.26229345761595,5.188577798943413,0.00782636172250233
21.80987859032129,-0.02815473747486285,+,NA,-1.7265511497770782,NA,NA,0.002746137973244785,NA,NA,NA,NA,NA,NA,NA,NA,6,-107.11053737227702,228.2698552323589,5.1961395736863665,0.00779682699921576
-13.414599241057747,0.02179103746073549,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-108.4242972159994,228.27716586057022,5.203450201897681,0.00776837917205315
-14.08399333143878,0.023352619437990167,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-104.32029366682852,228.33289502596472,5.259179367292177,0.00755490453133256
4.384213313161917,-0.006135484114977354,+,NA,0.4478021936459903,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,7,-105.94533456011303,228.69066912022606,5.616953461553521,0.0063174137777431
-11.048997479334655,0.016695187547277793,+,+,0.2323547707193208,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-102.99812848283197,228.7330990709271,5.659383412254556,0.006184801655371
106.70121838463427,-0.1451193211523006,+,+,-9.947806062249342,+,+,0.014045347679189716,NA,NA,NA,NA,NA,NA,NA,NA,11,-99.7480708834034,228.82947510014014,5.755759441467603,0.00589383519282372
-11.005949488248145,0.01523774225373715,+,+,0.3601735656247296,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,10,-101.44558527448248,228.8371164949109,5.763400836238361,0.00587135959568131
78.74259695624905,-0.10686173014631506,+,+,-7.732507768734123,+,NA,0.011000034514090056,+,NA,NA,NA,NA,NA,NA,NA,11,-99.79244036462343,228.9182140625802,5.844498403907664,0.00563804537569242
82.2846102163455,-0.11124045007759699,+,+,-8.073109633356337,NA,NA,0.011426521885038936,NA,NA,+,NA,NA,NA,NA,NA,10,-101.56036398281366,229.06667391157325,5.992958252900706,0.00523468942729005
-0.3623338031293564,NA,+,+,0.4578527289067168,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,9,-103.17378688794255,229.08441588114826,6.0107002224757196,0.00518845793960465
-1.6805661875945552,0.0029189977307110494,NA,NA,0.2761354009077153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-110.07739787091784,229.0850282999752,6.011312641302652,0.00518686942816316
3.910958333333334,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-108.83029243276026,229.08915629409194,6.015440635419395,0.00517617478557337
102.60124182213374,-0.13971275865229987,+,+,-9.947806062249292,NA,+,0.014045347679189647,+,NA,NA,NA,NA,NA,NA,NA,12,-98.13356616210262,229.18141803849096,6.10770237981842,0.00494281720416581
1.0668472814287546,NA,+,+,0.30673607724363905,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,8,-104.7608183087477,229.21394430980308,6.140228651130542,0.00486308163010808
80.36231178379612,-0.11093334468916569,+,+,-7.2532850267568945,+,NA,0.01057830547675586,NA,+,NA,NA,+,NA,NA,NA,11,-100.04522731541009,229.42378796415352,6.350072305480978,0.00437869392841961
-8.997454657360416,0.014247083450273732,+,+,0.22863940145751022,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,9,-103.43728551842183,229.6114131421068,6.537697483434272,0.00398659666632358
-9.874848314326902,0.015026920843094704,+,+,0.25611339374786646,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,10,-101.84093036885534,229.62780668365662,6.554091024984075,0.00395405300594905
