species,site,leaf_age,side,habitat,individual,mean_leaf_area,mean_total_herbivory,total_herbivory_standardized
SCU_MYR,S20,old,low,Savanna,3,3.3024444444444443,0.08344444444444445,2.526747863535429
SCU_MYR,S20,old,up,Savanna,1,4.4301818181818184,1.1488636363636364,25.93265205614381
SCU_MYR,S20,old,up,Savanna,2,6.9284375,0.7651875000000001,11.044156781381085
SCU_MYR,S20,old,up,Savanna,3,5.113444444444444,0.3768888888888889,7.370548227982878
SCU_MYR,S20,young,up,Savanna,1,4.053,0.013666666666666964,0.33719878279464505
SCU_MYR,S20,young,up,Savanna,2,1.9153333333333333,0.19216666666666668,10.033066481030282
SCU_MYR,S20,young,up,Savanna,3,1.7610000000000001,0.0045000000000000005,0.25553662691652473
SCU_MYR,S22,old,low,Savanna,1,3.856357142857143,0.8680714285714286,22.510140954638906
SCU_MYR,S22,old,low,Savanna,2,5.620785714285715,1.0162857142857142,18.080847873327315
SCU_MYR,S22,old,up,Savanna,1,5.838153846153846,0.6622307692307692,11.343153789396014
SCU_MYR,S22,old,up,Savanna,2,5.079875,0.5305625000000002,10.444400698836095
SCU_MYR,S22,young,up,Savanna,1,1.5586428571428572,0.2022857142857143,12.978323633197379
SCU_MYR,S22,young,up,Savanna,2,2.1782,0.24380000000000002,11.192727940501333
SCU_MYR,S27,old,low,Savanna,1,5.017125,0.12575,2.506415526820639
SCU_MYR,S27,old,low,Savanna,2,2.5748571428571427,0.2762857142857143,10.730137594318688
SCU_MYR,S27,old,low,Savanna,3,11.7405,0.0795,0.6771432221796345
SCU_MYR,S27,old,up,Savanna,1,5.3247333333333335,0.13786666666666667,2.5891750447596746
SCU_MYR,S27,old,up,Savanna,2,3.0312,0.14776,4.874637107416206
SCU_MYR,S27,old,up,Savanna,3,6.227764705882353,0.7000588235294117,11.240932446728124
SCU_MYR,S27,young,up,Savanna,1,8.3915,1.1395,13.579217064887088
SCU_MYR,S27,young,up,Savanna,2,2.2916666666666665,0.20733333333333331,9.047272727272727
SCU_MYR,S27,young,up,Savanna,3,2.7675,0.038000000000000006,1.3730803974706416
SCU_MYR,S30,old,low,Savanna,1,3.533714285714286,0.3701428571428571,10.474611901681758
SCU_MYR,S30,old,low,Savanna,2,3.634142857142857,0.9434285714285714,25.96013994260781
SCU_MYR,S30,old,low,Savanna,3,7.187833333333333,0.23266666666666666,3.236951329793401
SCU_MYR,S30,old,up,Savanna,1,4.921545454545455,0.2766363636363636,5.620924691061566
SCU_MYR,S30,old,up,Savanna,2,5.595125,0.42483333333333334,7.592919431350207
SCU_MYR,S30,old,up,Savanna,3,6.193764705882353,0.28223529411764703,4.556764867893706
SCU_MYR,S30,young,up,Savanna,1,2.60475,0.32875000000000004,12.621172857279971
SCU_MYR,S30,young,up,Savanna,3,2.8026666666666666,0.031,1.1060894386298763
SCU_MYR,T23,old,low,Thicket,1,3.9531666666666667,0.09033333333333333,2.2850879042118133
SCU_MYR,T23,old,low,Thicket,2,4.9365,0.017499999999999998,0.3545021776562342
SCU_MYR,T23,old,low,Thicket,3,3.0152,0.0164,0.5439108516847971
SCU_MYR,T23,old,up,Thicket,1,3.005177777777778,0.07611111111111114,2.5326658433962135
SCU_MYR,T23,old,up,Thicket,2,10.855636363636364,0.16718181818181835,1.5400462265099
SCU_MYR,T23,old,up,Thicket,3,3.535108695652174,0.1464130434782609,4.141684346462505
SCU_MYR,T23,young,up,Thicket,2,4.146473684210526,0.13389473684210526,3.2291230341571153
SCU_MYR,T23,young,up,Thicket,3,2.163125,0.030875,1.4273331407107772
SCU_MYR,T24,old,low,Thicket,1,7.0393333333333334,1.1293333333333333,16.043185907756413
SCU_MYR,T24,old,low,Thicket,3,2.7072857142857143,0.026714285714285715,0.9867553163421455
SCU_MYR,T24,old,up,Thicket,1,8.472,1.0324444444444445,12.186549155387684
SCU_MYR,T24,old,up,Thicket,2,3.7642407407407408,0.08409259259259266,2.2339855068898866
SCU_MYR,T24,old,up,Thicket,3,5.803230769230769,0.004,0.06892712282283078
SCU_MYR,T24,young,up,Thicket,1,2.6385135135135136,0.12362162162162163,4.685275288092189
SCU_MYR,T24,young,up,Thicket,3,3.7453636363636362,0.007181818181818182,0.19175222699580086
SID_INE,F7,old,low,Forest,1,7.973,0.004888888888888888,0.0613180595621333
SID_INE,F7,old,low,Forest,2,13.514875,2.5909999999999997,19.171468474551187
SID_INE,F7,old,up,Forest,1,15.375,4.777,31.069918699186992
SID_INE,F7,old,up,Forest,2,13.806181818181818,1.1617272727272727,8.414544209445044
SID_INE,F7,young,up,Forest,1,4.445,0.001,0.02249718785151856
SID_INE,S13,old,low,Savanna,1,12.6546,0.40299999999999997,3.1846127100026864
SID_INE,S13,old,low,Savanna,2,10.4848,0.0362,0.34526171219288876
SID_INE,S13,old,low,Savanna,3,14.7246,1.5738,10.688236013202395
SID_INE,S13,old,up,Savanna,1,21.86125,1.6041,7.337640802790326
SID_INE,S13,old,up,Savanna,2,14.3851,0.1264,0.8786869747168946
SID_INE,S13,old,up,Savanna,3,15.4509,0.8198,5.305839789267939
SID_INE,S13,young,up,Savanna,2,10.9743,0.5551,5.058181387423344
SID_INE,S20,old,low,Savanna,1,12.825500000000002,1.39975,10.913804530037813
SID_INE,S20,old,low,Savanna,2,10.454,0.001,0.009565716472163765
SID_INE,S20,old,up,Savanna,1,15.077111111111112,0.8803333333333333,5.838872757822747
SID_INE,S20,old,up,Savanna,2,12.431444444444445,0.6592222222222223,5.302861024463056
SID_INE,S20,young,up,Savanna,1,14.522666666666668,0.026333333333333334,0.18132574366507526
SID_INE,S20,young,up,Savanna,2,14.095500000000001,0.025,0.1773615692951651
SID_INE,S30,old,low,Savanna,1,14.972,2.5745,17.195431472081218
SID_INE,S30,old,low,Savanna,2,13.559833333333334,0.9498333333333333,7.004756695632935
SID_INE,S30,old,up,Savanna,1,20.5606,0.38626666666666665,1.8786740983564032
SID_INE,S30,old,up,Savanna,2,11.690166666666666,2.0618333333333334,17.637330519952666
SID_INE,S53,old,low,Savanna,1,4.48275,0.051375000000000004,1.1460598962690314
SID_INE,S53,old,up,Savanna,1,10.334,0.0785,0.7596284110702535
SID_INE,S53,young,up,Savanna,1,6.096125,0.00575,0.0943222128811335
SID_INE,T13,old,up,Thicket,1,10.892695652173913,2.002304347826087,18.382082927530217
SID_INE,T13,old,up,Thicket,2,21.389384615384614,7.274384615384616,34.00932166207537
SID_INE,T13,old,up,Thicket,3,14.495823529411764,1.3652941176470588,9.418534344577951
SID_INE,T23,old,low,Thicket,1,7.257000000000001,1.10925,15.285241835469202
SID_INE,T23,old,low,Thicket,2,16.27,0.013000000000000001,0.07990165949600493
SID_INE,T23,old,low,Thicket,3,10.40175,0.00125,0.012017208642776457
SID_INE,T23,old,up,Thicket,1,8.779764705882354,2.1736470588235295,24.75746368655196
SID_INE,T23,old,up,Thicket,2,13.388625,0.23975,1.7906991942787254
SID_INE,T23,old,up,Thicket,3,12.035357142857142,0.004642857142857143,0.03857681236831954
SID_INE,T23,young,up,Thicket,1,9.342,0,0
SID_INE,T23,young,up,Thicket,2,15.646,1.5397500000000002,9.841173462865909
SID_INE,T23,young,up,Thicket,3,7.2410000000000005,1.9138,26.43005109791465
SID_INE,T24,old,low,Thicket,1,11.429,0.0015,0.013124507830956339
SID_INE,T24,old,low,Thicket,2,6.2355,0.08583333333333333,1.3765268756849225
SID_INE,T24,old,up,Thicket,1,12.390818181818181,0.26436363636363636,2.1335446334896075
SID_INE,T24,old,up,Thicket,2,8.427083333333334,0.04058333333333333,0.48158220024721876
SID_INE,T24,young,up,Thicket,1,13.7946,0.2804,2.03267945427921
SID_INE,T24,young,up,Thicket,2,7.026357142857143,0.017857142857142856,0.25414510669011575
SPI_AFR,F3,old,low,Forest,2,9.312000000000001,0.161,1.7289518900343641
SPI_AFR,F3,old,up,Forest,2,7.715142857142857,0.21857142857142856,2.833018553494056
SPI_AFR,F3,young,up,Forest,1,4.232425531914894,0.015659574468085108,0.369990549154451
SPI_AFR,F3,young,up,Forest,3,4.6895,0.43274999999999997,9.228062693250878
SPI_AFR,S53,old,low,Savanna,1,3.2165,0.005666666666666667,0.17617493134359294
SPI_AFR,S53,old,low,Savanna,2,5.3908000000000005,0.133,2.4671662832974697
SPI_AFR,S53,old,low,Savanna,3,0.8374,0.03779999999999999,4.513971817530451
SPI_AFR,S53,old,up,Savanna,1,4.10021052631579,0.027,0.6585027726432532
SPI_AFR,S53,old,up,Savanna,2,7.056636363636364,0.04290909090909091,0.6080671965783337
SPI_AFR,S53,old,up,Savanna,3,0.751,0.030071428571428572,4.004184896328704
SPI_AFR,S53,young,up,Savanna,1,3.0258461538461536,0.023230769230769232,0.7677445596908685
SPI_AFR,S53,young,up,Savanna,2,4.325727272727272,0.02290909090909091,0.5296009078872707
SPI_AFR,S53,young,up,Savanna,3,0.6084666666666667,0.0036666666666666666,0.6026076476388736
SPI_AFR,T13,old,up,Thicket,1,4.5488888888888885,0.0069722222222222225,0.15327308255984368
SPI_AFR,T13,old,up,Thicket,2,4.7129393939393935,0.11715151515151516,2.4857420255003957
SPI_AFR,T13,old,up,Thicket,3,4.531263157894736,0.006236842105263158,0.13764025367621438
SPI_AFR,T17,old,low,Thicket,1,6.531,0.003,0.04593477262287552
SPI_AFR,T17,old,low,Thicket,3,5.676,0.005083333333333333,0.08955837444209537
SPI_AFR,T17,old,up,Thicket,1,7.9945,0.0019,0.02376633935830884
SPI_AFR,T17,old,up,Thicket,2,5.922499999999999,7.5e-4,0.012663571127057831
SPI_AFR,T17,old,up,Thicket,3,6.56125,8.333333333333334e-4,0.012700831904489744
SPI_AFR,T17,young,up,Thicket,1,0.923,0,0
SPI_AFR,T17,young,up,Thicket,2,3.529923076923077,0.02580769230769231,0.7311120312057356
SPI_AFR,T17,young,up,Thicket,3,4.1094,2e-4,0.004866890543631674
SPI_AFR,T22,old,low,Thicket,1,7.792,0.004,0.051334702258726904
SPI_AFR,T22,old,low,Thicket,2,7.222166666666666,0.0011666666666666668,0.01615397041515704
