species,site,herbivory_type,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized
ACA_GRA,S50,sap_miner_herbivory,Savanna,1,0,0.11072727272727273,0
ACA_GRA,S50,chew_herbivory,Savanna,1,0,0.11072727272727273,0
ACA_GRA,S52,sap_miner_herbivory,Savanna,1,0,0.1971,0
ACA_GRA,S52,chew_herbivory,Savanna,1,0.007775,0.1971,3.944698122780314
ACA_GRA,S53,sap_miner_herbivory,Savanna,1,5e-4,0.06055555555555556,0.8256880733944955
ACA_GRA,S53,sap_miner_herbivory,Savanna,2,8.421052631578948e-4,0.05068421052631579,1.6614745586708204
ACA_GRA,S53,sap_miner_herbivory,Savanna,3,4.7999999999999996e-4,0.05252,0.9139375476009138
ACA_GRA,S53,chew_herbivory,Savanna,1,2.2222222222222223e-4,0.06055555555555556,0.3669724770642202
ACA_GRA,S53,chew_herbivory,Savanna,2,1.5789473684210527e-4,0.05068421052631579,0.3115264797507788
ACA_GRA,S53,chew_herbivory,Savanna,3,3.6e-4,0.05252,0.6854531607006855
ACA_GRA,S55,sap_miner_herbivory,Savanna,1,9.6e-4,0.07084,1.355166572557877
ACA_GRA,S55,chew_herbivory,Savanna,1,4.8e-4,0.07084,0.6775832862789385
ACA_KAR,S1,sap_miner_herbivory,Savanna,1,0,0.5041612903225806,0
ACA_KAR,S1,sap_miner_herbivory,Savanna,2,0,1.665,0
ACA_KAR,S1,sap_miner_herbivory,Savanna,3,0,1.0380869565217392,0
ACA_KAR,S1,chew_herbivory,Savanna,1,0.013903225806451612,0.5041612903225806,2.757694030328236
ACA_KAR,S1,chew_herbivory,Savanna,2,0.010124999999999999,1.665,0.608108108108108
ACA_KAR,S1,chew_herbivory,Savanna,3,0.01526086956521739,1.0380869565217392,1.470095493382476
ACA_KAR,S10,sap_miner_herbivory,Savanna,1,0,1.0676666666666665,0
ACA_KAR,S10,sap_miner_herbivory,Savanna,2,0,0.3358695652173913,0
ACA_KAR,S10,chew_herbivory,Savanna,1,0.05071428571428571,1.0676666666666665,4.750011150260916
ACA_KAR,S10,chew_herbivory,Savanna,2,0.056913043478260865,0.3358695652173913,16.944983818770226
ACA_KAR,S11,sap_miner_herbivory,Savanna,1,0,1.1634166666666665,0
