species,site,leaf_age,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
ACA_NIL,S52,old,up,Savanna,3,0,0.978893043
ACA_NIL,S55,old,up,Savanna,1,0,0
ACA_NIL,S58,old,up,Savanna,1,0,0
ACA_NIL,S58,old,up,Savanna,2,0,0
ACA_NIL,S58,old,up,Savanna,3,0,0
ACA_NIL,S7,old,up,Savanna,1,0,0
ACA_NIL,S8,old,up,Savanna,1,0,0.231596361
ACA_NIL,S8,old,up,Savanna,2,0,0.392344498
ACA_NIL,S9,old,up,Savanna,1,0,0.416666667
ACA_NIL,S9,old,up,Savanna,2,0,0.156739812
ACA_NIL,S9,old,up,Savanna,3,0,0.6342711
ACA_NIL,T23,old,up,Thicket,1,0,0.535727647
ACA_NIL,T23,young,up,Thicket,1,0.257731959,0.326796745
ACA_NIL,T9,old,low,Thicket,3,0.54959988,2.449885266
ACA_NIL,T9,old,up,Thicket,1,1.415929204,3.041282179
ACA_NIL,T9,old,up,Thicket,2,0.595843885,0.819443744
ACA_NIL,T9,old,up,Thicket,3,0.822757277,6.290455477
ACA_NIL,T9,young,up,Thicket,1,0.383631714,0.614973305
ACA_NIL,T9,young,up,Thicket,2,0.395487185,1.843179643
ACA_ROB,F7,old,up,Forest,1,0,0.271757826
ACA_ROB,F7,old,up,Forest,2,0,0.441125541
ACA_ROB,S13,old,up,Savanna,1,0,3.517840184
ACA_ROB,S13,old,up,Savanna,2,0,0.483530405
ACA_ROB,S20,old,up,Savanna,1,0,0.379551503
ACA_ROB,S20,old,up,Savanna,2,0,0
ACA_ROB,S21,old,up,Savanna,1,0,0.027657807
ACA_ROB,S21,old,up,Savanna,2,0,0.057723033
ACA_ROB,S52,old,up,Savanna,1,0,5.132371966
ACA_ROB,S52,old,up,Savanna,2,1.015690325,6.519871854
ACA_ROB,S52,old,up,Savanna,3,0,1.339299772
ACA_ROB,S53,old,up,Savanna,1,0,0.842569789
ACA_ROB,S53,old,up,Savanna,2,0,1.508816984
ACA_ROB,S53,old,up,Savanna,3,0,1.021017069
ACA_ROB,T23,old,up,Thicket,1,0,1.72533469
ACA_ROB,T23,old,up,Thicket,2,0,0.230198462
ACA_ROB,T23,old,up,Thicket,3,3.128054741,3.920211546
ACA_ROB,T24,old,up,Thicket,1,0,1.845649263
ACA_ROB,T24,old,up,Thicket,2,0,1.316844155
ACA_ROB,T24,old,up,Thicket,3,0,0.400232419
BER_LUC,F2,old,low,Forest,1,2.411176201,16.32897547
BER_LUC,F2,old,low,Forest,2,4.801878779,16.75973073
BER_LUC,F2,old,low,Forest,3,0.020473623,15.7259181
BER_LUC,F2,old,up,Forest,1,0.024851432,10.37694264
BER_LUC,F2,old,up,Forest,2,0.026788106,15.25655955
BER_LUC,F2,old,up,Forest,3,0.022914757,4.41296641
BER_LUC,F2,young,up,Forest,1,71.40181665,71.40181665
BER_LUC,F2,young,up,Forest,2,71.40181665,71.40181665
BER_LUC,F2,young,up,Forest,3,71.40181665,71.40181665
BER_LUC,F3,old,low,Forest,1,0.080040814,0.893192253
BER_LUC,F3,old,low,Forest,2,0.120607162,0.125335272
BER_LUC,F3,old,up,Forest,1,0.162018853,4.948219272
BER_LUC,F3,old,up,Forest,2,0.458585859,2.573683639
BER_LUC,F4,old,low,Forest,1,2.237414543,13.32472233
BER_LUC,F4,old,low,Forest,2,15.34476787,21.22686233
BER_LUC,F4,old,low,Forest,3,0.379061372,0.623866192
BER_LUC,F4,old,up,Forest,1,1.025422728,5.005422252
BER_LUC,F4,old,up,Forest,2,2.68980165,4.160323368
BER_LUC,F4,old,up,Forest,3,1.025422728,4.208738036
BER_LUC,F5,old,low,Forest,1,11.41611607,13.37660338
BER_LUC,F5,old,low,Forest,2,1.070336391,4.023377959
BER_LUC,F5,old,low,Forest,3,2.809669417,5.799878486
BER_LUC,F5,old,up,Forest,1,2.061995572,13.48044348
BER_LUC,F5,old,up,Forest,2,8.574256326,13.67318133
BER_LUC,F5,old,up,Forest,3,2.728690965,2.527398751
BER_LUC,F5,young,up,Forest,3,2.64909112,2.398260851
BER_ZEY,S10,old,low,Savanna,1,26.73831981,29.65756088
BER_ZEY,S10,old,up,Savanna,1,21.3053241,20.14381897
BER_ZEY,S10,young,up,Savanna,1,18.79381635,21.91167578
BER_ZEY,S13,old,low,Savanna,1,5.519449939,11.02266326
BER_ZEY,S13,old,low,Savanna,2,0.863640725,1.485968639
BER_ZEY,S13,old,up,Savanna,1,1.197961778,3.835819192
BER_ZEY,S13,old,up,Savanna,2,2.763497195,4.421035851
BER_ZEY,S13,young,up,Savanna,1,0.085722683,2.893738698
BER_ZEY,S13,young,up,Savanna,2,0.081740265,3.781559666
BER_ZEY,S19,old,low,Savanna,1,2.150977668,6.255846043
BER_ZEY,S19,old,low,Savanna,2,2.016257595,9.389928836
BER_ZEY,S19,old,low,Savanna,3,1.526137212,4.967351478
BER_ZEY,S19,old,up,Savanna,1,0.264865581,3.739159264
BER_ZEY,S19,old,up,Savanna,2,1.886042991,4.295471619
BER_ZEY,S19,old,up,Savanna,3,33.24377729,35.29362369
BER_ZEY,S19,young,up,Savanna,1,0.068728522,0.881403011
BER_ZEY,S19,young,up,Savanna,2,0.15070922,2.694130733
BER_ZEY,S19,young,up,Savanna,3,0.044052864,7.179337219
BER_ZEY,S21,old,low,Savanna,1,38.55379189,29.48336609
BER_ZEY,S21,old,up,Savanna,1,3.906836965,14.95171788
BER_ZEY,S21,young,up,Savanna,1,0.118375576,3.256280867
BER_ZEY,S22,old,low,Savanna,1,80.76560357,83.08177239
BER_ZEY,S22,old,low,Savanna,2,81.62588709,82.34426173
BER_ZEY,S22,old,low,Savanna,3,96.14435021,88.30488803
BER_ZEY,S22,old,up,Savanna,1,85.62584136,83.78149716
BER_ZEY,S22,old,up,Savanna,2,90.95256627,89.31015599
BER_ZEY,S22,old,up,Savanna,3,97.14369309,87.0257044
BER_ZEY,S22,young,up,Savanna,1,45.8133957,50.47426575
BER_ZEY,S22,young,up,Savanna,2,94.87750557,89.57066378
BER_ZEY,S22,young,up,Savanna,3,49.98836147,49.98548162
BER_ZEY,S24,old,low,Savanna,1,0.734999332,4.988106537
BER_ZEY,S24,old,up,Savanna,1,1.813040585,4.018206277
BER_ZEY,S24,young,up,Savanna,1,3.207920792,2.885070641
BER_ZEY,S25,old,low,Savanna,1,3.278755384,4.244459426
BER_ZEY,S25,old,low,Savanna,2,1.215655558,2.146677459
BER_ZEY,S25,old,low,Savanna,3,4.551665243,5.389185924
BER_ZEY,S25,old,up,Savanna,1,1.228732873,3.778752999
BER_ZEY,S25,old,up,Savanna,2,1.242087663,3.056387388
BER_ZEY,S25,old,up,Savanna,3,1.223000296,1.770850995
BER_ZEY,S25,young,up,Savanna,1,3.960300636,7.457528251
BER_ZEY,S25,young,up,Savanna,2,0.251212902,0.458279734
BER_ZEY,S25,young,up,Savanna,3,0.165691433,1.114564711
BER_ZEY,S27,old,low,Savanna,1,6.516175736,11.52221534
BER_ZEY,S27,old,up,Savanna,1,0.393050234,1.246871558
BER_ZEY,S27,young,up,Savanna,1,0.701895208,0.68479647
BER_ZEY,S30,old,low,Savanna,1,10.32613774,12.20349582
BER_ZEY,S30,old,low,Savanna,2,3.950508175,6.141689716
BER_ZEY,S30,old,up,Savanna,1,15.65539796,17.94981807
BER_ZEY,S30,old,up,Savanna,2,2.685734988,3.851938966
BER_ZEY,S30,young,up,Savanna,1,9.540363075,13.77686036
BER_ZEY,S30,young,up,Savanna,2,6.072755721,5.203688136
BER_ZEY,S4,old,low,Savanna,1,0.402652805,0.852987017
BER_ZEY,S4,old,up,Savanna,1,0.396051171,1.72827728
BER_ZEY,S4,young,up,Savanna,1,0.253488405,1.535446912
